event_month,coef,std_error,t_stat,p_value,ci_low_95,ci_high_95,baseline_month_omitted
-12,2.125051463472898,5.5754379833220185,0.3811452068572246,0.7033689272908275,-8.802806983838257,13.052909910784054,-1
-11,3.714530415363508,3.6042828310125183,1.0305879392711306,0.30357544429691563,-3.3498639334210276,10.778924764148044,-1
-10,-3.0068612769396004,3.1544702954365365,-0.9532064008621426,0.3412632453668871,-9.189623055995211,3.175900502116011,-1
-9,-8.099321183050552,3.604189942446488,-2.2471959892193736,0.025364053265262143,-15.163533470245667,-1.0351088958554362,-1
-8,-7.608926491264363,3.8418188151049097,-1.9805531852122453,0.04856697625783846,-15.138891368869986,-0.07896161365873944,-1
-7,-4.8819772405859245,3.7661590708501067,-1.2962748383020244,0.1958905509038158,-12.263649019452133,2.499694538280284,-1
-6,-6.121304268221687,4.781952998258347,-1.2800845743258351,0.20151768200233122,-15.493932144808046,3.2513236083646717,-1
-5,-12.983084683552034,2.4970248806616158,-5.199421433122451,3.73527416774877e-07,-17.8772534496488,-8.088915917455267,-1
-4,-12.571623709004129,7.6970431209945085,-1.6333056098794199,0.10346793001152221,-27.657828226153363,2.514580808145107,-1
-3,-13.847348231787445,4.516235140631796,-3.066126497091619,0.0023686937210198877,-22.699169107425764,-4.995527356149125,-1
-2,-2.649907313150992,4.3730813048907695,-0.6059588487841255,0.5450064594294846,-11.2211466707369,5.921332044434916,-1
0,-5.046758158392919,4.24611324563322,-1.1885594816820058,0.23556575697688098,-13.369140119834029,3.275623803048191,-1
1,3.2160319111127524,7.359060310443192,0.4370166536818435,0.6624179137553914,-11.207726297355904,17.63979011958141,-1
2,4.141576539676291,3.697906069801361,1.1199788370770496,0.2636307075842672,-3.1063193571343763,11.389472436486958,-1
3,2.6450657035025045,2.6836799454057885,0.9856114578903539,0.3251287626021675,-2.6149469894928408,7.905078396497849,-1
4,6.680382829573761,3.2935337536800744,2.0283328877711804,0.04342147618688541,0.2250566723608145,13.135708986786707,-1
5,7.9200966242965825,4.953836213766434,1.5987804768932563,0.11093623842362899,-1.7894223546856276,17.629615603278793,-1
6,8.86927122064459,2.0872831284339624,4.249194131751062,2.877694113645468e-05,4.778196288914024,12.960346152375156,-1
7,21.62401766336996,3.1835623656110266,6.792396435186412,6.049782896866418e-11,15.384235426772346,27.86379989996757,-1
8,11.729874846343288,2.934255792433388,3.997563837682898,8.086727225165014e-05,5.978733493173847,17.48101619951273,-1
9,10.051844437349747,9.783757969411543,1.0274011753741623,0.3050704266457971,-9.124321182696878,29.22801005739637,-1
10,8.949946170921578,2.6578151389653546,3.367407326306995,0.0008591433179006014,3.7406284985494827,14.159263843293672,-1
11,4.978819624155089,2.327735453840835,2.1389112821819527,0.033261000086424186,0.41645813462705306,9.541181113683125,-1
12,5.702113231584283,3.9881879577831,1.4297503758458507,0.15384328513087908,-2.1147351656705924,13.518961628839158,-1
13,2.3806794361532573,3.763530514191105,0.6325654667011346,0.5275057776345307,-4.995840371661308,9.757199243967822,-1
14,-0.1649506403126099,4.644189894592613,-0.0355176347342445,0.9716909246226142,-9.26756283371413,8.937661553088912,-1
15,-3.7001536209046715,4.146621580702039,-0.8923297071825448,0.3729410713333394,-11.827531919080668,4.427224677271324,-1
16,0.6102383574280157,5.096469450959536,0.11973746988969457,0.9047723443907119,-9.378841766452675,10.599318481308705,-1
17,-5.435210755862633,3.0905579927056297,-1.7586503047963764,0.07967024587820926,-11.492704421565666,0.6222829098404015,-1
18,-6.673520572326975,3.7732171279340716,-1.768655326755842,0.07798128707491703,-14.069026143077755,0.7219849984238049,-1
