outcome,specification,coef_treatment_intensity,std_error,t_stat,p_value,n_obs,r_squared,r_squared_within,r_squared_between,r_squared_overall,notes
avg_first_response_hours,baseline_fe_controls_clustered,2.5500312973750248,0.2506166836308282,10.175026101340315,0.0,384,0.0949880043805682,0.5586061972575307,0.10829822166099778,0.11112020286108093,Entity/time FE with standardized controls and ecosystem-clustered SE.
backlog_open_end_month,baseline_fe_controls_clustered,3.0295915877153843,3.0528785777451017,0.9923721204637894,0.32175429277198275,384,0.019459824540724924,0.12985422986833717,0.013221422291360363,0.013635451170346036,Entity/time FE with standardized controls and ecosystem-clustered SE.
issue_burden_index,baseline_fe_controls_clustered,0.7348980996310037,0.11071933345238626,6.63748666755693,1.3378698149324464e-10,384,0.0746552103006608,0.47873778204947437,-0.001511440504893713,0.40113153738910645,Entity/time FE with standardized controls and ecosystem-clustered SE.
issues_opened,baseline_fe_controls_clustered,5.9984919740735165,1.551044029176834,3.867389874971519,0.000132889260179736,384,0.2834986045691662,0.5206437507063159,0.0674704402199442,0.07225765303533271,Entity/time FE with standardized controls and ecosystem-clustered SE.
median_close_days,baseline_fe_controls_clustered,0.5613569637415765,0.31809775956507647,1.7647309572664063,0.07854820915907679,384,0.012341867115187033,0.2606450250885479,0.03578024957125325,0.03687140651778731,Entity/time FE with standardized controls and ecosystem-clustered SE.
avg_first_response_hours,fe_controls_weighted_repos,2.4879014630249157,0.24330014219423668,10.22564738593009,0.0,384,0.09211667563005699,0.5736205619420676,0.09976410649524614,0.10277540212250191,Entity/time FE with controls and active-repository analytic weights.
backlog_open_end_month,fe_controls_weighted_repos,4.0033031880429775,2.9806298560747053,1.343106451102609,0.18017466730755416,384,0.016321770920046053,0.17992466036920807,0.02822873369972345,0.028769679562396955,Entity/time FE with controls and active-repository analytic weights.
issue_burden_index,fe_controls_weighted_repos,0.7359048664422156,0.10335743742995963,7.11999914801393,6.964206988868682e-12,384,0.07505354465769987,0.5024705861747378,-0.02898864002914525,0.4219177408043586,Entity/time FE with controls and active-repository analytic weights.
issues_opened,fe_controls_weighted_repos,5.817038333756477,1.4855358421298734,3.915784573340453,0.00010983180815338223,384,0.2790165746434353,0.518122103408317,0.12788925474173507,0.1318784322181531,Entity/time FE with controls and active-repository analytic weights.
median_close_days,fe_controls_weighted_repos,0.6024920352930174,0.3034797970347519,1.9852788923014377,0.047953673542519226,384,0.014217456935804895,0.28976342028567825,0.04968690848107271,0.05084269743759806,Entity/time FE with controls and active-repository analytic weights.
avg_first_response_hours,fe_no_controls_clustered,2.4262253862996577,0.24657241941550925,9.839808491358987,0.0,384,0.08093173662040254,0.5770544353026748,0.10445968176852893,0.10742132931200121,Entity/time FE without additional controls; ecosystem-clustered SE.
backlog_open_end_month,fe_no_controls_clustered,2.3938041914294694,2.8782097508336175,0.8316990069039099,0.4061839347636891,384,0.0016422019937463173,0.11784534990597118,0.00968900365063452,0.010072942370156102,Entity/time FE without additional controls; ecosystem-clustered SE.
issue_burden_index,fe_no_controls_clustered,0.7325627167080088,0.09361702679294986,7.825101285562049,7.038813976123492e-14,384,0.06616914818713504,0.5478850412918856,-0.43239881272256464,0.38947531351217757,Entity/time FE without additional controls; ecosystem-clustered SE.
issues_opened,fe_no_controls_clustered,5.10862934000626,1.3059766987271901,3.9117308486324065,0.00011141206656239966,384,0.02975028613203934,0.3759052578834037,0.05435227373886686,0.0577490813859699,Entity/time FE without additional controls; ecosystem-clustered SE.
median_close_days,fe_no_controls_clustered,0.5401563966218343,0.2968644415738045,1.8195388904047782,0.06974076395987794,384,0.008263983181788226,0.2608254083459476,0.03404320809935557,0.03514366935470381,Entity/time FE without additional controls; ecosystem-clustered SE.
