outcome,specification,coef_treatment_intensity,std_error,t_stat,p_value,n_obs,r_squared,r_squared_within,r_squared_between,r_squared_overall,standardized_effect_sd,notes
avg_first_response_hours,baseline_step4_reference,2.5500312973750248,0.2506166836308279,10.175026101340327,0.0,384,0.0949880043805682,0.5586061972575307,0.10829822166099778,0.11112020286108093,1.8420418886076741,Step 4 reference: TWFE with standardized controls and ecosystem-clustered SE.
backlog_open_end_month,baseline_step4_reference,3.0295915877153843,3.052878577745104,0.9923721204637888,0.3217542927719832,384,0.019459824540724924,0.12985422986833717,0.013221422291360252,0.013635451170346036,0.28126849187312764,Step 4 reference: TWFE with standardized controls and ecosystem-clustered SE.
issue_burden_index,baseline_step4_reference,0.734898099631004,0.11071933345238626,6.637486667556932,1.3378698149324464e-10,384,0.0746552103006608,0.4787377820494745,-0.001511440504893935,0.40113153738910634,1.1666248730118227,Step 4 reference: TWFE with standardized controls and ecosystem-clustered SE.
issues_opened,baseline_step4_reference,5.998491974073519,1.551044029176833,3.8673898749715225,0.000132889260179736,384,0.2834986045691661,0.5206437507063159,0.0674704402199442,0.07225765303533271,0.7089910346403556,Step 4 reference: TWFE with standardized controls and ecosystem-clustered SE.
median_close_days,baseline_step4_reference,0.5613569637415766,0.31809775956507674,1.764730957266405,0.07854820915907701,384,0.012341867115187033,0.2606450250885479,0.035780249571253475,0.03687140651778731,0.7306567291276149,Step 4 reference: TWFE with standardized controls and ecosystem-clustered SE.
avg_first_response_hours,finalized_trend_adjusted,3.809155529213042,0.6490425914611767,5.868883767146261,1.1021954238188414e-08,384,0.10865031475583498,0.5741089414695839,0.15815946206683607,0.16076612611604357,2.7515835010553773,Finalized Step 6 model: TWFE + ecosystem-specific linear trends.
backlog_open_end_month,finalized_trend_adjusted,7.312873044790619,7.924556137400862,0.9228116903957139,0.3568049765412198,384,0.04431456228493591,0.4504417334487252,0.03022646225679171,0.03171816310219444,0.6789300514657814,Finalized Step 6 model: TWFE + ecosystem-specific linear trends.
issue_burden_index,finalized_trend_adjusted,1.5350808784671546,0.14997269282437073,10.235735916703511,0.0,384,0.10694110776375532,0.7697665739448653,-2.8261409825973067,0.18868311039488372,2.4368868769749477,Finalized Step 6 model: TWFE + ecosystem-specific linear trends.
issues_opened,finalized_trend_adjusted,10.81804237956631,1.4773659565676691,7.3225204164712325,2.0108359422010835e-12,384,0.30372589193512156,0.667583028489785,0.1171656080305935,0.12298008401155403,1.278637212923264,Finalized Step 6 model: TWFE + ecosystem-specific linear trends.
median_close_days,finalized_trend_adjusted,1.6255222780924075,0.2598086641059163,6.256613049015679,1.2695478002200389e-09,384,0.035735895545782714,0.45573563698774333,0.10074936658165168,0.10247193844283675,2.1157638856366456,Finalized Step 6 model: TWFE + ecosystem-specific linear trends.
